"Name"	"lods"	"F.p.value"
"CCT7"	425.9427534824	"7.40001860139397e-191"
"PAFAH1B1"	61.1727489373	"3.80883692136989e-32"
"PSME1"	352.6436671103	"5.34287784982404e-159"
"PAFAH1B1"	21.9472319009	"5.99527951136973e-15"
"PAFAH1B1"	-1.912033508	0.0002761311
"RPS10"	523.3132394284	"3.56804335045039e-233"
"ATP5O"	348.4360894207	"3.6032347332039e-157"
"RPS15"	893.4651121273	0
"PSMD8"	364.1146774747	"5.5174917640624e-164"
"LAMP2"	151.5527724497	"1.51727309251692e-71"
"TPI1"	315.2267926838	"9.83165347162592e-143"
"RPL29"	576.6239356768	"2.42244085595006e-256"
"GSTP1"	103.2678783244	"1.63052467321212e-50"
"HYOU1"	220.1663190278	"2.12105660264069e-101"
"SNRPD2"	474.2050512716	"7.84037565145087e-212"
"PLOD1"	207.6605574202	"5.83732873878043e-96"
"ZNF207"	403.7923885283	"3.13468971224606e-181"
"ZNF207"	82.9764085965	"1.15049140385909e-41"
"PSMD2"	440.5676280257	"3.25937095098426e-197"
"SCD"	1.3241105652	"9.09625625859732e-06"
"SCD"	77.5497684296	"2.68458838276249e-39"
"200833_s_at"	192.7086704837	"1.86524145009973e-89"
"RPS21"	505.146894737	"2.80089638772068e-225"
"MAP4"	23.1332259815	"1.79943262615801e-15"
"MAP4"	181.498322853	"1.40695371533218e-84"
"BCAP31"	211.7424159736	"9.78702262976187e-98"
"CTSB"	271.8893987981	"6.82087199123756e-124"
"CTSB"	481.2270166832	"6.96047883925488e-215"
"KARS"	195.3607727127	"1.30892916982710e-90"
"EPRS"	-8.2566626932	0.4593164305
"EPRS"	61.9496195537	"1.74302972680671e-32"
"EPRS"	153.3061102853	"2.61704003256069e-72"
"PRDX6"	311.6981151506	"3.36215848462786e-141"
"PRDX6"	106.7758954306	"4.82342853584746e-52"
"PPP1CA"	296.5072824676	"1.35092303307168e-134"
"TMEM66"	114.3647710408	"2.37894543710641e-55"
"AHCYL1"	114.5728418498	"1.9307498401434e-55"
"AHCYL1"	263.0991054351	"4.52839151285967e-120"
"AHCYL1"	395.574706857	"1.16904576871171e-177"
"KIAA0174"	128.8609801881	"1.15229351891833e-61"
"GNB2"	695.7171897646	"4.22144028022728e-308"
"H2AFZ"	292.9822651306	"4.60407691067197e-133"
"NCOR1"	75.8824666346	"1.43414148940816e-38"
"200855_at"	170.3680569765	"9.80999324777323e-80"
"200856_x_at"	228.8980268183	"3.3794319554431e-105"
"NCOR1"	88.573351594	"4.16243008011791e-44"
"RPS8"	631.3397438023	"4.02685351390737e-280"
"FLNA"	406.3578704119	"2.40532050628649e-182"
"CNOT1"	163.8908097447	"6.46586092269193e-77"
"CNOT1"	134.4310626079	"4.3228689163322e-64"
"DHCR24"	121.3948037481	"2.05896090734206e-58"
"RAB11A"	425.5760696646	"1.06806619639757e-190"
"RAB11A"	112.532428559	"1.49547742758836e-54"
"EIF3F"	399.8758175364	"1.57921501223609e-179"
"PSAP"	279.2312116723	"4.38210506449642e-127"
"RNF114"	168.0492178051	"1.00188407926063e-78"
"RNF114"	70.7777084464	"2.42744387708765e-36"
"200869_at"	543.656659575	"5.14573175097709e-242"
"STRAP"	216.6558363682	"7.13599553178054e-100"
"PSAP"	403.9801254739	"2.59776171155385e-181"
"S100A10"	268.4401887007	"2.15559980010702e-122"
"CCT8"	217.5993413474	"2.77375279669874e-100"
"NOP56"	190.1837897548	"2.34011404587604e-88"
"NOP56"	302.3091654794	"4.0578212453442e-137"
"PSMB1"	497.0038539786	"9.68660589538071e-222"
"CCT4"	143.1522478622	"6.89102079056195e-68"
"EPAS1"	47.0997623793	"5.44221908983867e-26"
"EPAS1"	1.8212660989	"5.41145796901849e-06"
"DNAJA1"	19.705520224	"5.84262979356566e-14"
"DNAJA1"	176.4165867838	"2.28839752138471e-82"
"PSMD4"	311.7533358987	"3.18135688307175e-141"
"UQCRC2"	48.590123793	"1.21175584012187e-26"
"CKB"	-7.1253768662	0.0937864015
"200885_at"	589.6552765379	"5.25949261103796e-262"
"PGAM1"	258.0804660979	"6.88937758222781e-118"
"STAT1"	135.6747290928	"1.24220829391136e-64"
"RPL23"	402.1571358226	"1.61034131884015e-180"
"SSR1"	17.8077463656	"4.02434587112038e-13"
"SSR1"	-8.5306446047	0.9930447791
"SSR1"	310.3898127413	"1.24557588883227e-140"
"TRA2B"	166.5184547737	"4.64534422295807e-78"
"TRA2B"	206.3668339119	"2.13296608979903e-95"
"FKBP4"	108.8922875724	"5.76791727756144e-53"
"FKBP4"	120.0918959319	"7.60730827900384e-58"
"HDGF"	369.3383684224	"2.95961986235291e-166"
"PALLD"	134.6834577844	"3.35629907566566e-64"
"MGEA5"	21.1989449246	"1.28156622972871e-14"
"MGEA5"	116.4981144993	"2.79829756218827e-56"
