"Name"	"coefficients"	"df.residual"	"sigma"	"stdev.unscaled"	"Amean"	"s2.post"	"t"	"p.value"	"lods"	"F"	"F.p.value"
"RPL19"	3.0509744174	1189	0.5120104701	0.1314473217	12.8788612041	0.2617458914	45.3677131062	"6.55023887717623e-262"	589.4359601527	2058.2293924843	"6.55023887717772e-262"
"SLC25A3"	1.2245688643	1189	0.4194077188	0.1314473217	11.7984386399	0.1757167797	22.2241343421	"7.86192873694498e-92"	198.1682664973	493.9121472556	"7.86192873694498e-92"
"RPS11"	1.9811576313	1189	0.3828856138	0.1314473217	12.9320981753	0.1464910195	39.3787376019	"6.17237143170317e-218"	488.2501330311	1550.6849751232	"6.17237143170387e-218"
"RPL9"	2.1196906061	1189	0.3938865705	0.1314473217	12.6950264159	0.1550141856	40.9576482697	"1.20364905949867e-229"	515.1950296647	1677.5289517814	"1.20364905949867e-229"
"DDX5"	2.0893100463	1189	0.4447134896	0.1314473217	11.4461771389	0.1975275533	35.7632771998	"6.45619275426693e-191"	426.0790964216	1279.0119960702	"6.4561927542662e-191"
"RPL6"	2.2654467893	1189	0.3677814546	0.1314473217	12.0434989638	0.1351821093	46.8751332266	"9.28041420164865e-273"	614.3986908804	2197.2781150091	"9.28041420164865e-273"
"DULLARD"	1.2851216865	1189	0.3165253653	0.1314473217	9.5619717563	0.1001978109	30.8861228271	"2.24851002229344e-154"	342.0055823652	953.9525832901	"2.24851002229344e-154"
"RPL10A"	2.4373908095	1189	0.5791037694	0.1314473217	11.9629096992	0.3347632647	32.0482655448	"4.65682918835656e-163"	361.9834699883	1027.091324433	"4.65682918835656e-163"
"CBX3"	1.5598781087	1189	0.4645726998	0.1314473217	10.2026213198	0.2155386186	25.5609137075	"2.90638949554606e-115"	252.043368173	653.3603095642	"2.90638949554606e-115"
"RPL17"	2.7737872659	1189	0.5786988778	0.1314473217	12.2400346352	0.3342956909	36.4969035013	"2.04782307384165e-196"	438.7311164002	1332.0239651815	"2.04782307384165e-196"
"PSMB2"	1.3686145722	1189	0.4672023521	0.1314473217	10.3460627549	0.2179825343	22.3007038068	"2.35274247548905e-92"	199.3726602372	497.3213902779	"2.35274247548905e-92"
"KHDRBS1"	0.4914953398	1189	0.3064504553	0.1314473217	10.6379596321	0.0939375966	12.1996659943	"2.41892986319932e-32"	61.6239361286	148.8318503734	"2.41892986319932e-32"
"BAT1"	3.105369379	1189	0.456009446	0.1314473217	11.1937849587	0.207675801	51.8404279028	"9.7694621213025e-308"	694.8787545212	2687.4299651444	"9.7694621213025e-308"
"C22orf28"	1.3111474499	1189	0.4190773149	0.1314473217	9.614566691	0.1754404565	23.8141408919	"7.46701767463387e-103"	223.5079214321	567.1133064178	"7.46701767463387e-103"
"ERH"	2.2079431309	1189	0.3365438548	0.1314473217	11.1806622286	0.1132375035	49.9161405259	"2.52031532171114e-294"	664.0208076385	2491.6210850031	"2.52031532171114e-294"
"SFRS9"	1.6439631228	1189	0.4259874746	0.1314473217	10.2346324676	0.1812649066	29.3753780164	"3.84821021312097e-143"	316.1638779235	862.9128336063	"3.84821021312097e-143"
"ABCF1"	0.7207478234	1189	0.3329714742	0.1314473217	9.6666528355	0.1108519175	16.4687255891	"4.61404661580195e-55"	113.7044838588	271.2189225284	"4.61404661580195e-55"
"DAD1"	1.6939504885	1189	0.5544860299	0.1314473217	10.3250168514	0.3069289242	23.2610900374	"5.49076202284152e-99"	214.6184841055	541.0783097261	"5.49076202284152e-99"
"YY1"	1.5210387824	1189	0.4896314316	0.1314473217	9.7494308549	0.2393880052	23.6503380693	"1.05131901572361e-101"	220.8671343357	559.3384907915	"1.05131901572361e-101"
"JTB"	2.2956795932	1189	0.4115754268	0.1314473217	11.4448723259	0.1692250875	42.4548351152	"1.11452946751269e-240"	540.5832943825	1802.4130246547	"1.11452946751282e-240"
"MYST2"	-0.7366701576	1189	0.3582110952	0.1314473217	8.8670484107	0.1282520454	-15.6490935045	"2.406482714436e-50"	102.8800321689	244.8941275137	"2.406482714436e-50"
"ZNF146"	1.5261704573	1189	0.5302761844	0.1314473217	9.1749309303	0.2807348292	21.9130663028	"1.03860249770082e-89"	193.29315037	480.1824747905	"1.03860249770082e-89"
"SART1"	1.3484444582	1189	0.4059516922	0.1314473217	8.0539849909	0.1646394068	25.2821745261	"2.89718630318079e-113"	247.4472973835	639.188348769	"2.89718630318079e-113"
"ILF2"	2.3747408362	1189	0.6508894953	0.1314473217	9.5416341429	0.4228311693	27.7831179011	"2.1153877332241e-131"	289.1588961838	771.9016403045	"2.1153877332241e-131"
"SPAG7"	1.466788638	1189	0.279709159	0.1314473217	9.614386868	0.0783034139	39.8772726033	"1.21801126551283e-221"	496.7749490097	1590.1968702742	"1.21801126551283e-221"
"ZNF259"	0.2888660921	1189	0.3980821413	0.1314473217	7.9103355939	0.1583283642	5.5228781573	"4.09089875657777e-08"	6.5353649509	30.5021831401	"4.09089875657777e-08"
"TAF10"	0.8882690365	1189	0.3471067247	0.1314473217	10.4110512162	0.1204401641	19.4718454041	"1.53161468710178e-73"	156.1378815245	379.1527634419	"1.53161468710178e-73"
"C1D"	0.6540788765	1189	0.4955372995	0.1314473217	6.7497272971	0.2451912538	10.0490705468	"7.31643460107077e-23"	39.957547971	100.9838188553	"7.31643460107077e-23"
"NONO"	1.7033276269	1189	0.2627612592	0.1314473217	11.5334243641	0.0691334256	49.2835984458	"7.08923307330645e-290"	653.7838092328	2428.8730757656	"7.08923307330806e-290"
"SNRNP200"	1.8062276739	1189	0.4411730462	0.1314473217	10.3348015265	0.1943992231	31.1654561674	"1.85098682869083e-156"	346.8010520893	971.2856581246	"1.85098682869083e-156"
"RHOA"	2.0556398852	1189	0.6310409104	0.1314473217	11.4414511323	0.397452384	24.8057716213	"7.28657778888125e-110"	239.6276511248	615.3263057262	"7.28657778888125e-110"
"RNPS1"	1.9900239567	1189	0.3786817042	0.1314473217	10.4403723623	0.1432977285	39.9932695371	"1.67716184541170e-222"	498.7563056017	1599.4616082637	"1.6771618454116e-222"
"RPS24"	2.7475295209	1189	0.4389654516	0.1314473217	12.9922101171	0.1924612525	47.6451800028	"2.91820438564062e-278"	627.0596324118	2270.0631774949	"2.91820438564095e-278"
"RPL30"	2.0622220447	1189	0.419469053	0.1314473217	12.8661140917	0.1757680987	37.4208506865	"2.48482450049711e-203"	454.6444848258	1400.3200661023	"2.48482450049696e-203"
"NPM1"	2.0035828363	1189	0.4945028127	0.1314473217	11.5053199207	0.2441697158	30.8467676589	"4.41995013415162e-154"	341.3303251606	951.5230750033	"4.41995013415162e-154"
"HSP90AB1"	2.908262704	1189	0.3987058212	0.1314473217	12.0573365028	0.1588240214	55.5167198527	0	752.5991201708	3082.1061832059	0
"ARF1"	2.7017895405	1189	0.3542372776	0.1314473217	11.7118318876	0.1254282179	58.036624963	0	791.2010383822	3368.2498370958	0
"IK"	1.0872798307	1189	0.4461331587	0.1314473217	9.5724112147	0.1987889942	18.5521147652	"1.06602522291688e-67"	142.7170469167	344.1809622603	"1.06602522291688e-67"
"SNX3"	0.2716496347	1189	0.4062154741	0.1314473217	10.2056616338	0.1648530884	5.0898951943	"4.15966093460015e-07"	4.2898861602	25.907033089	"4.15966093460015e-07"
"CANX"	1.5929336035	1189	0.4028827717	0.1314473217	11.6890889311	0.1621635693	30.0932633012	"1.80597472646333e-148"	328.4216323993	905.6044961134	"1.80597472646333e-148"
"SART3"	-0.5477611055	1189	0.3975770944	0.1314473217	7.6925794832	0.157927557	-10.4860154022	"1.14188117826827e-24"	44.0809895339	109.9565190162	"1.14188117826827e-24"
"C2orf24"	1.4202617981	1189	0.3666704244	0.1314473217	8.2560652503	0.1343682188	29.4759888874	"6.91235200988556e-144"	317.8790966887	868.8339208879	"6.91235200988556e-144"
"SMNDC1"	0.1738667028	1189	0.4538564673	0.1314473217	8.1004826233	0.2057219387	2.9162474528	0.0036090163	-4.291599031	8.5044992059	0.0036090163
"HNRNPM"	2.5676280142	1189	0.4537266564	0.1314473217	10.0152016077	0.2056044288	43.0788529803	"2.96013750661662e-245"	551.1123215946	1855.7875740963	"2.96013750661662e-245"
"HNRNPD"	1.2626850058	1189	0.4898040287	0.1314473217	9.7500628007	0.2395566163	19.6263345148	"1.54653809510799e-74"	158.4255918813	385.1930064885	"1.54653809510799e-74"
"RPL14"	2.8784563412	1189	0.4705533593	0.1314473217	11.5246750373	0.2211168441	46.5690085104	"1.45393400278005e-270"	609.3480980083	2168.672553642	"1.45393400278021e-270"
"GUK1"	3.2550337847	1189	0.514038477	0.1314473217	9.9958204988	0.2638213513	48.2112940758	"2.73848880137948e-282"	636.3269308083	2324.3288764601	"2.73848880137948e-282"
"C19orf50"	1.3331862568	1189	0.3637912176	0.1314473217	8.9043271357	0.1322705007	27.8873718642	"3.63558704865098e-132"	290.9180557453	777.7055094919	"3.63558704865098e-132"
